step,layer,mean,std,norm,max,min
0,features.12.depthwise.real_weights,0.0005439879023469985,0.011583356186747551,0.3934149742126465,0.05331552401185036,-0.045159805566072464
0,features.12.pointwise.real_weights,-2.986437266372377e-06,0.00040668112342245877,0.07361765205860138,0.012751298025250435,-0.014688251540064812
0,features.13.weight,0.00045225865324027836,0.008141404017806053,0.1302090287208557,0.07539170235395432,-0.02830173447728157
0,features.13.bias,5.678829620592296e-05,0.003110443940386176,0.04967811703681946,0.03437727317214012,-0.012691784650087357
0,features.15.depthwise.real_weights,-0.00032286022906191647,0.01344575360417366,0.6454421281814575,0.08521118015050888,-0.09105107933282852
0,features.15.pointwise.real_weights,-1.5964110389177222e-07,0.0003089313395321369,0.07908554375171661,0.005666067358106375,-0.0069012693129479885
0,features.16.weight,0.003721113782376051,0.014600378461182117,0.24063117802143097,0.06208795681595802,-0.03868914768099785
0,features.16.bias,-0.0063180518336594105,0.10781504958868027,1.7246333360671997,0.3401055932044983,-0.5127073526382446
0,classifier.weight,791154432.0,57429987328.0,2905460965376.0,782425849856.0,-663991746560.0
50,features.12.depthwise.real_weights,-0.00014146798639558256,0.010311605408787727,0.3498685359954834,0.04360664635896683,-0.03373156487941742
50,features.12.pointwise.real_weights,2.156099526473554e-06,0.00037835928378626704,0.06849009543657303,0.012575464323163033,-0.011106004007160664
50,features.13.weight,-0.00031062529888004065,0.009926735423505306,0.15859512984752655,0.09931781142950058,-0.05323828384280205
50,features.13.bias,0.000223613838898018,0.002384675433859229,0.03824792057275772,0.02168016880750656,-0.01038140244781971
50,features.15.depthwise.real_weights,0.0007619584794156253,0.012426416389644146,0.5974588990211487,0.10282732546329498,-0.04896262288093567
50,features.15.pointwise.real_weights,-3.9852000099926954e-07,0.00037120681372471154,0.0950278714299202,0.011769121512770653,-0.011521349661052227
50,features.16.weight,-0.0011947378516197205,0.015595057047903538,0.24976567924022675,0.06465881317853928,-0.08073858916759491
50,features.16.bias,0.002237046370282769,0.027380967512726784,0.4387015700340271,0.09323517978191376,-0.0811477079987526
50,classifier.weight,2.0601280994014814e-05,0.07500623166561127,3.794307231903076,0.3180094361305237,-0.38427600264549255
100,features.12.depthwise.real_weights,-0.00011327789979986846,0.008566190488636494,0.2906453609466553,0.030304688960313797,-0.028754228726029396
100,features.12.pointwise.real_weights,1.2855084605689626e-06,0.0002994767273776233,0.05421055108308792,0.008753177709877491,-0.007485747803002596
100,features.13.weight,-8.207080827560276e-05,0.0058538769371807575,0.09348814189434052,0.03449169546365738,-0.03274614363908768
100,features.13.bias,-8.437516953563318e-06,0.0022651527542620897,0.036171842366456985,0.02224060893058777,-0.016468595713377
100,features.15.depthwise.real_weights,0.0006094428827054799,0.010376880876719952,0.4988405704498291,0.07707399129867554,-0.05834571644663811
100,features.15.pointwise.real_weights,3.316022798571794e-07,0.0002820790105033666,0.07221147418022156,0.007106692995876074,-0.00603456050157547
100,features.16.weight,0.0006250574951991439,0.009747488424181938,0.1559758484363556,0.048874448984861374,-0.024735424667596817
100,features.16.bias,-0.0024848796892911196,0.02528448775410652,0.40571361780166626,0.10267551243305206,-0.1321353167295456
100,classifier.weight,0.00012572770356200635,0.06940996646881104,3.5112171173095703,0.32333454489707947,-0.2857823073863983
150,features.12.depthwise.real_weights,-0.0006205716636031866,0.010603628121316433,0.36035892367362976,0.04011493921279907,-0.05242422968149185
150,features.12.pointwise.real_weights,-3.606807013056823e-07,0.0003513592528179288,0.063601553440094,0.008906753733754158,-0.010668858885765076
150,features.13.weight,-0.00011496813385747373,0.005193681456148624,0.08295684307813644,0.03157714754343033,-0.022934457287192345
150,features.13.bias,8.133836672641337e-05,0.0019660131074488163,0.03142167255282402,0.00875785481184721,-0.016097765415906906
150,features.15.depthwise.real_weights,9.015916293719783e-05,0.008207740262150764,0.3939097821712494,0.05548606812953949,-0.05371731147170067
150,features.15.pointwise.real_weights,2.7373204147806973e-07,0.00023299333406612277,0.059645701199769974,0.004127893131226301,-0.004476929549127817
150,features.16.weight,-0.0005476169753819704,0.008223114535212517,0.13160459697246552,0.03317371755838394,-0.046825431287288666
150,features.16.bias,-0.0009798852261155844,0.030756859108805656,0.4913978576660156,0.08660098910331726,-0.12168720364570618
150,classifier.weight,-9.171199053525925e-07,0.05758165568113327,2.912858009338379,0.26151081919670105,-0.2762177288532257
200,features.12.depthwise.real_weights,0.00028904929058626294,0.007556061260402203,0.2565375864505768,0.02837836742401123,-0.0246778205037117
200,features.12.pointwise.real_weights,4.6519068064299063e-07,0.00030770679586566985,0.05569986253976822,0.008277925662696362,-0.005668969824910164
200,features.13.weight,-0.0008468472515232861,0.0058225966058671474,0.09396149218082428,0.018000733107328415,-0.041801925748586655
200,features.13.bias,4.015920058009215e-05,0.0016627429286018014,0.026559649035334587,0.007840912789106369,-0.010577083565294743
200,features.15.depthwise.real_weights,-0.0003096381260547787,0.0084131620824337,0.4040176272392273,0.03777181729674339,-0.046410705894231796
200,features.15.pointwise.real_weights,5.02225418586022e-07,0.00026997821987606585,0.06911386549472809,0.004743533208966255,-0.004877761472016573
200,features.16.weight,-0.001206503133289516,0.01012576837092638,0.16284379363059998,0.0323159284889698,-0.05413014814257622
200,features.16.bias,-0.0010740937432274222,0.025880534201860428,0.413636177778244,0.06504994630813599,-0.10019924491643906
200,classifier.weight,0.00013813035911880434,0.061390701681375504,3.1055519580841064,0.3511875867843628,-0.3253071904182434
