step,cw_mean,cw_std,cw_norm,tw_mean,tw_std,tw_norm,weight_diff,weight_cosine
0,-3.8790008147771005e-06,0.06252044439315796,3.1626944541931152,-3.8790008147771005e-06,0.06252044439315796,3.1626944541931152,0.0,0.9999998807907104
50,-4.549699951894581e-06,0.06251814216375351,3.1625773906707764,-4.549699951894581e-06,0.06251814216375351,3.1625773906707764,0.0,1.0000001192092896
100,-3.2790092063805787e-06,0.06251488626003265,3.1624131202697754,-3.2790092063805787e-06,0.06251488626003265,3.1624131202697754,0.0,1.0
150,-2.0859247342741583e-06,0.06251449137926102,3.162393093109131,-2.0859247342741583e-06,0.06251449137926102,3.162393093109131,0.0,1.0000001192092896
200,-1.729260816318856e-06,0.06251223385334015,3.162278652191162,-1.729260816318856e-06,0.06251223385334015,3.162278652191162,0.0,1.0
