step,cw_mean,cw_std,cw_norm,tw_mean,tw_std,tw_norm,weight_diff,weight_cosine
0,3.943605406675488e-06,0.05591738969087601,2.8286681175231934,-3.958140950999223e-05,0.056081317365169525,2.836961507797241,0.21676339209079742,0.9970768690109253
50,3.034761448361678e-06,0.05591561645269394,2.828578472137451,-4.049025665153749e-05,0.056079551577568054,2.836871862411499,0.21676339209079742,0.9970767498016357
100,2.0503407540672924e-06,0.05591410771012306,2.8285024166107178,-4.147466825088486e-05,0.056078046560287476,2.8367958068847656,0.21676339209079742,0.9970765113830566
150,6.646696419920772e-07,0.055911995470523834,2.8283958435058594,-4.286034163669683e-05,0.056075938045978546,2.8366897106170654,0.21676339209079742,0.9970759153366089
200,3.052542069781339e-06,0.05591097101569176,2.8283438682556152,-4.047247421112843e-05,0.05607491731643677,2.8366379737854004,0.21676339209079742,0.9970759153366089
