seed,stage,behavior,accuracy,overall_accuracy
43,Backbone,Standing,39.24050632911393,31.88239117331027
43,Backbone,Walking,90.8695652173913,31.88239117331027
43,Backbone,Sitting,0.0,31.88239117331027
43,Backbone,Lying chest,93.06666666666666,31.88239117331027
43,Backbone,Sniffing,0.0,31.88239117331027
43,Backbone,Trotting,0.0,31.88239117331027
43,Backbone,Galloping,0.0,31.88239117331027
43,Task_1,Standing,50.43478260869565,82.30231307154384
43,Task_1,Walking,95.21739130434783,82.30231307154384
43,Task_1,Sitting,100.0,82.30231307154384
43,Task_1,Lying chest,91.46666666666667,82.30231307154384
43,Task_1,Sniffing,99.70149253731343,82.30231307154384
43,Task_2,Standing,78.08219178082192,93.76008606777837
43,Task_2,Walking,97.82608695652173,93.76008606777837
43,Task_2,Sitting,100.0,93.76008606777837
43,Task_2,Lying chest,92.53333333333333,93.76008606777837
43,Task_2,Sniffing,99.70149253731343,93.76008606777837
43,Task_2,Trotting,99.04761904761905,93.76008606777837
43,Task_3,Standing,91.77215189873418,96.12694997310382
43,Task_3,Walking,96.95652173913044,96.12694997310382
43,Task_3,Sitting,99.70930232558139,96.12694997310382
43,Task_3,Lying chest,92.8,96.12694997310382
43,Task_3,Sniffing,99.70149253731343,96.12694997310382
43,Task_3,Trotting,95.23809523809524,96.12694997310382
43,Task_3,Galloping,100.0,96.12694997310382
