model,Acc,Flash (KB),RAM (KB),MACs (M),Params (K),Latency
FP32,0.0122,1055.7314453125,17232.0,1.983744,268.746,0.4754633398260921
Pruned,0.0113,1056.3486328125,0.0,1.88544,268.65,0.6784803979098797
Backbone,0.0112,269.5361328125,0.0,0.0,0.0,0.25984420790337026
Hybrid,0.0874,299.8134765625,5216.0,0.007296,7.428,0.29831507592462003
