eval_exp,training_exp,eval_accuracy,forgetting
0,0,0.3840,0.0000
0,1,0.0000,0.3840
1,1,0.4385,0.0000
0,2,0.0000,0.3840
1,2,0.0000,0.4385
2,2,0.4390,0.0000
0,3,0.0000,0.3840
1,3,0.0000,0.4385
2,3,0.0000,0.4390
3,3,0.4380,0.0000
0,4,0.0000,0.3840
1,4,0.0000,0.4385
2,4,0.0000,0.4390
3,4,0.0005,0.4375
4,4,0.4505,0.0000
