model,Acc,Flash (KB),RAM (KB),MACs (M),Params (K),Latency
FP32,0.9853,815.1767578125,3536.0,1.293312,207.018,0.22±0.07
Pruned,0.9861,815.2236328125,32.0,1.218048,206.922,0.50±0.04
Backbone,0.9863,209.2626953125,1568.0,0.0,0.0,0.23±0.02
Hybrid,0.9721,227.8564453125,1008.0,0.004416,4.458,0.26±0.04
