model,Acc,Flash (KB),RAM (KB),MACs (M),Params (K),Latency
FP32,0.9142,815.2001953125,4336.0,1.293312,207.018,0.2255887701176107
Pruned,0.9239,815.2470703125,3824.0,1.218048,206.922,0.5137537097471068
Backbone,0.9236,209.3095703125,192.0,0.0,0.0,0.21126418017956894
Hybrid,0.1015,228.0205078125,4864.0,0.004416,4.458,0.2506874797109049
