eval_exp,training_exp,eval_accuracy,forgetting
0,0,0.3965,0.0000
0,1,0.0000,0.3965
1,1,0.4265,0.0000
0,2,0.0000,0.3965
1,2,0.0000,0.4265
2,2,0.4310,0.0000
0,3,0.0000,0.3965
1,3,0.0000,0.4265
2,3,0.0000,0.4310
3,3,0.4310,0.0000
0,4,0.0000,0.3965
1,4,0.0000,0.4265
2,4,0.0000,0.4310
3,4,0.0010,0.4300
4,4,0.4360,0.0000
