model,Acc,Flash (KB),RAM (KB),MACs (M),Params (K),Latency
FP32,0.6245,1056.3486328125,23344.0,1.983744,268.746,0.2393491892144084
Pruned,0.6488,1056.3955078125,11264.0,1.88544,268.65,0.5729750450700521
Backbone,0.649,269.5595703125,17248.0,0.0,0.0,0.24189336458221078
Hybrid,0.61,288.1611328125,224.0,0.004416,4.458,0.2645137649960816
