model,Acc,Flash (KB),RAM (KB),MACs (M),Params (K),Latency
FP32,0.9105,815.2001953125,1968.0,1.293312,207.018,0.307182540273061
Pruned,0.9255,815.2470703125,0.0,1.218048,206.922,0.5245699796068948
Backbone,0.9251,209.3095703125,1312.0,0.0,0.0,0.22138292973977514
Hybrid,0.0752,228.0205078125,2992.0,0.004416,4.458,0.24943832002463748
