model,Acc,Flash (KB),RAM (KB),MACs (M),Params (K),Latency
FP32,0.9097,815.2001953125,6320.0,1.293312,207.018,0.2480662989546545
Pruned,0.9289,815.2470703125,6096.0,1.218048,206.922,0.5176283122273162
Backbone,0.9307,209.3095703125,4384.0,0.0,0.0,0.21267705917125568
Hybrid,0.0608,228.0205078125,2736.0,0.004416,4.458,0.23486171005060896
