model,Acc,Flash (KB),RAM (KB),MACs (M),Params (K),Latency
FP32,0.9105,815.2001953125,5600.0,1.293312,207.018,0.21289833988703322
Pruned,0.9255,815.2470703125,16.0,1.218048,206.922,0.5319653901824495
Backbone,0.925,209.3095703125,1200.0,0.0,0.0,0.21995251976477448
Hybrid,0.0366,228.0205078125,8912.0,0.004416,4.458,0.2599821199692087
