timestamp,total_parameters,trainable_parameters,model_size_mb,process_memory_mb,model_memory_mb,flops,latency_ms,conv_layers,linear_layers,brn_layers,binary_layers,sram_estimate_kb,flash_estimate_kb,binary_operations,binary_parameters,brn_parameters,binary_ratio,task_id,epoch,step,phase
1755005302.065173,10635,10635,0.041622161865234375,427.171875,0.08045578002929688,9.728K,0.02633810043334961,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,0,training
1755005302.117346,10635,10635,0.041622161865234375,428.078125,0.08045578002929688,9.728K,0.025644302368164062,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,100,training
1755005302.167787,10635,10635,0.041622161865234375,428.25,0.08045578002929688,9.728K,0.025627613067626953,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,200,training
1755005302.218115,10635,10635,0.041622161865234375,428.265625,0.08045578002929688,9.728K,0.025570392608642578,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,300,training
1755005302.266902,10635,10635,0.041622161865234375,428.28125,0.08045578002929688,9.728K,0.02534627914428711,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,400,training
1755005302.316064,10635,10635,0.041622161865234375,428.4375,0.08045578002929688,9.728K,0.025455951690673828,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,500,training
1755005302.365375,10635,10635,0.041622161865234375,428.4375,0.08045578002929688,9.728K,0.02516031265258789,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,600,training
1755005302.414863,10635,10635,0.041622161865234375,428.4375,0.08045578002929688,9.728K,0.02861499786376953,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,700,training
1755005302.464087,10635,10635,0.041622161865234375,428.46875,0.08045578002929688,9.728K,0.025746822357177734,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,800,training
1755005302.513103,10635,10635,0.041622161865234375,428.5,0.08045578002929688,9.728K,0.028548240661621094,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,900,training
1755005302.5632079,10635,10635,0.041622161865234375,428.5,0.08045578002929688,9.728K,0.031723976135253906,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,1000,training
1755005302.615,10635,10635,0.041622161865234375,428.53125,0.08045578002929688,9.728K,0.025479793548583984,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,1100,training
1755005302.6639721,10635,10635,0.041622161865234375,428.53125,0.08045578002929688,9.728K,0.02800464630126953,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,1200,training
1755005302.713483,10635,10635,0.041622161865234375,428.53125,0.08045578002929688,9.728K,0.028831958770751953,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,1300,training
1755005302.763455,10635,10635,0.041622161865234375,428.53125,0.08045578002929688,9.728K,0.028774738311767578,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,1400,training
1755005302.789366,10635,10635,0.041622161865234375,429.5,0.08045578002929688,9.728K,0.025875568389892578,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,1,0,training
1755005302.8383958,10635,10635,0.041622161865234375,429.5,0.08045578002929688,9.728K,0.025396347045898438,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,1,100,training
1755005302.886675,10635,10635,0.041622161865234375,429.5,0.08045578002929688,9.728K,0.02543926239013672,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,1,200,training
1755005302.935752,10635,10635,0.041622161865234375,429.5,0.08045578002929688,9.728K,0.0254058837890625,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,1,300,training
1755005302.984115,10635,10635,0.041622161865234375,429.5,0.08045578002929688,9.728K,0.025379657745361328,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,1,400,training
1755005303.0329459,10635,10635,0.041622161865234375,429.5,0.08045578002929688,9.728K,0.025768280029296875,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,1,500,training
1755005303.081774,10635,10635,0.041622161865234375,429.5,0.08045578002929688,9.728K,0.025277137756347656,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,1,600,training
1755005303.130324,10635,10635,0.041622161865234375,429.5,0.08045578002929688,9.728K,0.027811527252197266,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,1,700,training
