timestamp,total_parameters,trainable_parameters,model_size_mb,process_memory_mb,model_memory_mb,flops,latency_ms,conv_layers,linear_layers,brn_layers,binary_layers,sram_estimate_kb,flash_estimate_kb,binary_operations,binary_parameters,brn_parameters,binary_ratio,task_id,epoch,step,phase
1755004350.428163,10635,10635,0.041622161865234375,566.5,0.08045578002929688,9.728K,0.026662349700927734,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,0,0,training
1755004350.450793,10635,10635,0.041622161865234375,567.09375,0.08045578002929688,9.728K,0.02561330795288086,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,1,0,training
1755004350.471563,10635,10635,0.041622161865234375,567.1875,0.08045578002929688,9.728K,0.025343894958496094,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,2,0,training
1755004350.492543,10635,10635,0.041622161865234375,567.21875,0.08045578002929688,9.728K,0.029842853546142578,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,3,0,training
1755004350.513304,10635,10635,0.041622161865234375,567.21875,0.08045578002929688,9.728K,0.02526998519897461,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,4,0,training
1755004350.533786,10635,10635,0.041622161865234375,567.234375,0.08045578002929688,9.728K,0.025026798248291016,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,5,0,training
1755004350.554482,10635,10635,0.041622161865234375,567.234375,0.08045578002929688,9.728K,0.02552509307861328,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,6,0,training
1755004350.574961,10635,10635,0.041622161865234375,567.234375,0.08045578002929688,9.728K,0.028769969940185547,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,7,0,training
1755004350.59601,10635,10635,0.041622161865234375,567.25,0.08045578002929688,9.728K,0.025851726531982422,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,8,0,training
1755004350.616255,10635,10635,0.041622161865234375,567.28125,0.08045578002929688,9.728K,0.025265216827392578,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,9,0,training
1755004350.6363049,10635,10635,0.041622161865234375,567.28125,0.08045578002929688,9.728K,0.025365352630615234,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,10,0,training
1755004350.656548,10635,10635,0.041622161865234375,567.28125,0.08045578002929688,9.728K,0.02495288848876953,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,11,0,training
1755004350.677152,10635,10635,0.041622161865234375,567.28125,0.08045578002929688,9.728K,0.02940654754638672,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,12,0,training
1755004350.698085,10635,10635,0.041622161865234375,567.28125,0.08045578002929688,9.728K,0.025241374969482422,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,13,0,training
1755004350.718337,10635,10635,0.041622161865234375,567.28125,0.08045578002929688,9.728K,0.025315284729003906,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,14,0,training
1755004350.738243,10635,10635,0.041622161865234375,567.3125,0.08045578002929688,9.728K,0.02513885498046875,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,15,0,training
1755004350.759383,10635,10635,0.041622161865234375,567.328125,0.08045578002929688,9.728K,0.030868053436279297,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,16,0,training
1755004350.7805061,10635,10635,0.041622161865234375,567.328125,0.08045578002929688,9.728K,0.02773284912109375,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,17,0,training
1755004350.801526,10635,10635,0.041622161865234375,567.34375,0.08045578002929688,9.728K,0.025157928466796875,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,18,0,training
1755004350.821717,10635,10635,0.041622161865234375,567.359375,0.08045578002929688,9.728K,0.025115013122558594,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,19,0,training
1755004350.843137,10635,10635,0.041622161865234375,567.375,0.08045578002929688,9.728K,0.02686023712158203,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,20,0,training
1755004350.8642051,10635,10635,0.041622161865234375,567.40625,0.08045578002929688,9.728K,0.025191307067871094,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,21,0,training
1755004350.884504,10635,10635,0.041622161865234375,567.40625,0.08045578002929688,9.728K,0.02556324005126953,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,22,0,training
1755004350.9083252,10635,10635,0.041622161865234375,567.421875,0.08045578002929688,9.728K,0.03304719924926758,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,23,0,training
1755004350.9304051,10635,10635,0.041622161865234375,567.421875,0.08045578002929688,9.728K,0.025429725646972656,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,24,0,training
1755004350.950687,10635,10635,0.041622161865234375,567.421875,0.08045578002929688,9.728K,0.025112628936767578,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,25,0,training
1755004350.970809,10635,10635,0.041622161865234375,567.421875,0.08045578002929688,9.728K,0.025420188903808594,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,26,0,training
1755004350.9912162,10635,10635,0.041622161865234375,567.421875,0.08045578002929688,9.728K,0.027554035186767578,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,27,0,training
1755004351.012117,10635,10635,0.041622161865234375,567.4375,0.08045578002929688,9.728K,0.025649070739746094,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,28,0,training
1755004351.032528,10635,10635,0.041622161865234375,567.4375,0.08045578002929688,9.728K,0.02515554428100586,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,29,0,training
1755004351.052935,10635,10635,0.041622161865234375,567.453125,0.08045578002929688,9.728K,0.025482177734375,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,30,0,training
1755004351.073199,10635,10635,0.041622161865234375,567.453125,0.08045578002929688,9.728K,0.02500772476196289,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,31,0,training
1755004351.09405,10635,10635,0.041622161865234375,567.453125,0.08045578002929688,9.728K,0.02735614776611328,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,32,0,training
1755004351.114676,10635,10635,0.041622161865234375,567.453125,0.08045578002929688,9.728K,0.025074481964111328,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,33,0,training
1755004351.134568,10635,10635,0.041622161865234375,567.453125,0.08045578002929688,9.728K,0.02490520477294922,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,34,0,training
1755004351.15451,10635,10635,0.041622161865234375,567.453125,0.08045578002929688,9.728K,0.02552509307861328,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,35,0,training
1755004351.1755252,10635,10635,0.041622161865234375,567.453125,0.08045578002929688,9.728K,0.030453205108642578,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,36,0,training
1755004351.195827,10635,10635,0.041622161865234375,567.453125,0.08045578002929688,9.728K,0.025463104248046875,0,3,0,0,41.68359375,41.54296875,0,0,0,0.0,0,37,0,training
