model,Acc,Flash (KB),RAM (KB),MACs (M),Params (K),Latency
FP32,0.984,815.1767578125,12080.0,1.293312,207.018,0.24890415603294969
Pruned,0.9877,815.2236328125,288.0,1.218048,206.922,0.5096845736261457
Backbone,0.9874,209.2626953125,3872.0,0.0,0.0,0.2155400742776692
Hybrid,0.9764,227.8564453125,608.0,0.004416,4.458,0.25467215455137193
