model,Acc,Flash (KB),RAM (KB),MACs (M),Params (K),Latency
FP32,0.4823,815.1767578125,32.0,1.218048,206.922,0.547051711473614
Pruned,0.4823,815.2236328125,2480.0,1.218048,206.922,0.5200137291103601
Backbone,0.4824,209.2626953125,9280.0,0.0,0.0,0.2247754274867475
Hybrid,0.4928,227.8564453125,2304.0,0.004416,4.458,0.2538475440815091
